_topic_,_term_,_role_,_weight_
positive,advisable,,0.5
trust,advisable,,0.5
positive,advise,,0.5
trust,advise,,0.5
trust,advised,,0.5
positive,adviser,,0.5
trust,adviser,,0.5
anger,advocacy,,0.5
anticipation,advocacy,,0.5
joy,advocacy,,0.5
positive,advocacy,,0.5
trust,advocacy,,0.5
trust,advocate,,0.5
positive,aesthetic,,0.5
joy,aesthetics,,0.5
positive,aesthetics,,0.5
positive,affable,,0.5
joy,affection,,0.5
positive,affection,,0.5
trust,affection,,0.5
positive,affiliated,,0.5
positive,affirm,,0.5
trust,affirm,,0.5
positive,affirmation,,0.5
positive,affirmative,,0.5
positive,affirmatively,,0.5
trust,affirmatively,,0.5
fear,afflict,,0.5
negative,afflict,,0.5
sadness,afflict,,0.5
negative,afflicted,,0.5
disgust,affliction,,0.5
fear,affliction,,0.5
negative,affliction,,0.5
sadness,affliction,,0.5
joy,affluence,,0.5
positive,affluence,,0.5
positive,affluent,,0.5
positive,afford,,0.5
anger,affront,,0.5
disgust,affront,,0.5
fear,affront,,0.5
negative,affront,,0.5
sadness,affront,,0.5
surprise,affront,,0.5
fear,afraid,,0.5
negative,afraid,,0.5
anger,aftermath,,0.5
disgust,aftermath,,0.5
fear,aftermath,,0.5
negative,aftermath,,0.5
sadness,aftermath,,0.5
negative,aftertaste,,0.5
fear,aga,,0.5
positive,aga,,0.5
trust,aga,,0.5
anger,aggravated,,0.5
negative,aggravated,,0.5
anger,aggravating,,0.5
negative,aggravating,,0.5
sadness,aggravating,,0.5
anger,aggravation,,0.5
disgust,aggravation,,0.5
negative,aggravation,,0.5
anger,aggression,,0.5
fear,aggression,,0.5
negative,aggression,,0.5
anger,aggressive,,0.5
fear,aggressive,,0.5
negative,aggressive,,0.5
anger,aggressor,,0.5
fear,aggressor,,0.5
negative,aggressor,,0.5
disgust,aghast,,0.5
fear,aghast,,0.5
negative,aghast,,0.5
surprise,aghast,,0.5
positive,agile,,0.5
positive,agility,,0.5
anger,agitated,,0.5
negative,agitated,,0.5
anger,agitation,,0.5
negative,agitation,,0.5
fear,agonizing,,0.5
negative,agonizing,,0.5
anger,agony,,0.5
fear,agony,,0.5
negative,agony,,0.5
sadness,agony,,0.5
positive,agree,,0.5
positive,agreeable,,0.5
trust,agreeable,,0.5
positive,agreed,,0.5
trust,agreed,,0.5
positive,agreeing,,0.5
trust,agreeing,,0.5
positive,agreement,,0.5
trust,agreement,,0.5
positive,agriculture,,0.5
negative,aground,,0.5
positive,ahead,,0.5
positive,aid,,0.5
positive,aiding,,0.5
negative,ail,,0.5
sadness,ail,,0.5
fear,ailing,,0.5
negative,ailing,,0.5
sadness,ailing,,0.5
negative,aimless,,0.5
anticipation,airport,,0.5
disgust,airs,,0.5
negative,airs,,0.5
trust,akin,,0.5
positive,alabaster,,0.5
fear,alarm,,0.5
negative,alarm,,0.5
surprise,alarm,,0.5
fear,alarming,,0.5
negative,alarming,,0.5
surprise,alarming,,0.5
trust,alb,,0.5
